Date,Open,High,Low,Close,Adj Close,Volume
2011-11-17,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-18,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-22,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-23,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-24,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-25,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-28,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-29,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-11-30,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-01,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-02,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-05,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-06,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-07,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-08,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-09,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-13,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-14,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-15,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-16,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-19,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-20,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-21,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-22,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-23,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-26,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-27,570.0,570.0,570.0,570.0,562.1730349999999,0
2011-12-28,570.0,570.0,570.0,570.0,562.533142,0
2011-12-29,570.0,570.0,570.0,570.0,562.533142,0
2011-12-30,570.0,570.0,570.0,570.0,562.533142,0
2012-01-02,570.0,570.0,570.0,570.0,562.533142,0
2012-01-03,570.0,570.0,570.0,570.0,562.533142,0
2012-01-04,570.0,570.0,570.0,570.0,562.533142,0
2012-01-05,570.0,570.0,570.0,570.0,562.533142,0
2012-01-09,570.0,570.0,570.0,570.0,562.533142,0
2012-01-10,570.0,570.0,570.0,570.0,562.533142,0
2012-01-11,570.0,570.0,570.0,570.0,562.533142,0
2012-01-12,570.0,570.0,570.0,570.0,562.533142,0
2012-01-13,570.0,570.0,570.0,570.0,562.533142,0
2012-01-16,570.0,570.0,570.0,570.0,562.533142,0
2012-01-17,570.0,570.0,570.0,570.0,562.533142,0
2012-01-18,570.0,570.0,570.0,570.0,562.533142,0
2012-01-19,570.0,570.0,570.0,570.0,562.533142,0
2012-01-20,570.0,570.0,570.0,570.0,562.533142,0
2012-01-23,570.0,570.0,570.0,570.0,562.533142,0
2012-01-24,570.0,570.0,570.0,570.0,562.533142,0
2012-01-25,570.0,570.0,570.0,570.0,562.533142,0
2012-01-26,570.0,570.0,570.0,570.0,562.533142,0
2012-01-27,570.0,570.0,570.0,570.0,562.533142,0
2012-01-30,570.0,570.0,570.0,570.0,562.533142,0
2012-01-31,570.0,570.0,570.0,570.0,562.533142,0
2012-02-01,570.0,570.0,570.0,570.0,562.533142,0
2012-02-02,570.0,570.0,570.0,570.0,562.533142,0
2012-02-03,570.0,570.0,570.0,570.0,562.533142,0
2012-02-07,570.0,570.0,570.0,570.0,562.533142,0
2012-02-08,570.0,570.0,570.0,570.0,562.533142,0
2012-02-09,570.0,570.0,570.0,570.0,562.533142,0
2012-02-10,570.0,570.0,570.0,570.0,562.533142,0
2012-02-13,570.0,570.0,570.0,570.0,562.533142,0
2012-02-14,570.0,570.0,570.0,570.0,562.533142,0
2012-02-15,570.0,570.0,570.0,570.0,562.533142,0
2012-02-16,570.0,570.0,570.0,570.0,562.533142,0
2012-02-17,570.0,570.0,570.0,570.0,562.533142,0
2012-02-20,570.0,570.0,570.0,570.0,562.533142,0
2012-02-21,570.0,570.0,570.0,570.0,562.533142,0
2012-02-22,570.0,570.0,570.0,570.0,562.533142,0
2012-02-23,570.0,570.0,570.0,570.0,562.533142,0
2012-02-24,570.0,570.0,570.0,570.0,562.533142,0
2012-02-27,570.0,570.0,570.0,570.0,562.533142,0
2012-02-28,570.0,570.0,570.0,570.0,562.533142,0
2012-02-29,570.0,570.0,570.0,570.0,562.533142,0
2012-03-01,570.0,570.0,570.0,570.0,562.533142,0
2012-03-02,570.0,570.0,570.0,570.0,562.533142,0
2012-03-05,570.0,570.0,570.0,570.0,562.533142,0
2012-03-06,570.0,570.0,570.0,570.0,562.533142,0
2012-03-07,570.0,570.0,570.0,570.0,562.533142,0
2012-03-08,570.0,570.0,570.0,570.0,562.533142,0
2012-03-09,570.0,570.0,570.0,570.0,562.533142,0
2012-03-12,570.0,570.0,570.0,570.0,562.533142,0
2012-03-13,570.0,570.0,570.0,570.0,562.533142,0
2012-03-14,570.0,570.0,570.0,570.0,562.533142,0
2012-03-15,570.0,570.0,570.0,570.0,562.533142,0
2012-03-16,570.0,570.0,570.0,570.0,562.533142,0
2012-03-20,570.0,570.0,570.0,570.0,562.533142,0
2012-03-21,570.0,570.0,570.0,570.0,562.533142,0
2012-03-22,570.0,570.0,570.0,570.0,562.533142,0
2012-03-23,570.0,570.0,570.0,570.0,562.533142,0
2012-03-26,570.0,570.0,570.0,570.0,562.533142,0
2012-03-27,570.0,570.0,570.0,570.0,562.533142,0
2012-03-28,570.0,570.0,570.0,570.0,562.533142,0
2012-03-29,570.0,570.0,570.0,570.0,562.533142,0
2012-03-30,570.0,570.0,570.0,570.0,562.533142,0
2012-04-02,570.0,570.0,570.0,570.0,562.893555,0
2012-04-03,570.0,570.0,570.0,570.0,562.893555,0
2012-04-04,570.0,570.0,570.0,570.0,562.893555,0
2012-04-09,570.0,570.0,570.0,570.0,562.893555,0
2012-04-10,570.0,570.0,570.0,570.0,562.893555,0
2012-04-11,570.0,570.0,570.0,570.0,562.893555,0
2012-04-12,570.0,570.0,570.0,570.0,562.893555,0
2012-04-13,570.0,570.0,570.0,570.0,562.893555,0
2012-04-16,570.0,570.0,570.0,570.0,562.893555,0
2012-04-17,570.0,570.0,570.0,570.0,562.893555,0
2012-04-18,570.0,570.0,570.0,570.0,562.893555,0
2012-04-19,570.0,570.0,570.0,570.0,562.893555,0
2012-04-20,570.0,570.0,570.0,570.0,562.893555,0
2012-04-23,570.0,570.0,570.0,570.0,562.893555,0
2012-04-24,570.0,570.0,570.0,570.0,562.893555,0
2012-04-25,570.0,570.0,570.0,570.0,562.893555,0
2012-04-26,570.0,570.0,570.0,570.0,562.893555,0
2012-04-27,570.0,570.0,570.0,570.0,562.893555,0
2012-04-30,570.0,570.0,570.0,570.0,562.893555,0
2012-05-02,570.0,570.0,570.0,570.0,562.893555,0
2012-05-03,570.0,570.0,570.0,570.0,562.893555,0
2012-05-04,570.0,570.0,570.0,570.0,562.893555,0
2012-05-07,570.0,570.0,570.0,570.0,562.893555,0
2012-05-08,570.0,570.0,570.0,570.0,562.893555,0
2012-05-09,570.0,570.0,570.0,570.0,562.893555,0
2012-05-10,570.0,570.0,570.0,570.0,562.893555,0
2012-05-11,570.0,570.0,570.0,570.0,562.893555,0
2012-05-14,570.0,570.0,570.0,570.0,562.893555,0
2012-05-15,570.0,570.0,570.0,570.0,562.893555,0
2012-05-16,570.0,570.0,570.0,570.0,562.893555,0
2012-05-17,570.0,570.0,570.0,570.0,562.893555,0
2012-05-18,570.0,570.0,570.0,570.0,562.893555,0
2012-05-21,570.0,570.0,570.0,570.0,562.893555,0
2012-05-22,570.0,570.0,570.0,570.0,562.893555,0
2012-05-23,570.0,570.0,570.0,570.0,562.893555,0
2012-05-24,570.0,570.0,570.0,570.0,562.893555,0
2012-05-25,570.0,570.0,570.0,570.0,562.893555,0
2012-05-28,570.0,570.0,570.0,570.0,562.893555,0
2012-05-29,570.0,570.0,570.0,570.0,562.893555,0
2012-05-30,570.0,570.0,570.0,570.0,562.893555,0
2012-05-31,570.0,570.0,570.0,570.0,562.893555,0
2012-06-01,570.0,570.0,570.0,570.0,562.893555,0
2012-06-04,570.0,570.0,570.0,570.0,562.893555,0
2012-06-05,570.0,570.0,570.0,570.0,562.893555,0
2012-06-06,570.0,570.0,570.0,570.0,562.893555,0
2012-06-07,570.0,570.0,570.0,570.0,562.893555,0
2012-06-08,570.0,570.0,570.0,570.0,562.893555,0
2012-06-11,570.0,570.0,570.0,570.0,562.893555,0
2012-06-12,570.0,570.0,570.0,570.0,562.893555,0
2012-06-13,570.0,570.0,570.0,570.0,562.893555,0
2012-06-14,570.0,570.0,570.0,570.0,562.893555,0
2012-06-15,570.0,570.0,570.0,570.0,562.893555,0
2012-06-18,570.0,570.0,570.0,570.0,562.893555,0
2012-06-19,570.0,570.0,570.0,570.0,562.893555,0
2012-06-20,570.0,570.0,570.0,570.0,562.893555,0
2012-06-21,570.0,570.0,570.0,570.0,562.893555,0
2012-06-22,570.0,570.0,570.0,570.0,562.893555,0
2012-06-25,570.0,570.0,570.0,570.0,562.893555,0
2012-06-26,570.0,570.0,570.0,570.0,562.893555,0
2012-06-27,570.0,570.0,570.0,570.0,563.254395,0
2012-06-28,570.0,570.0,570.0,570.0,563.254395,0
2012-06-29,570.0,570.0,570.0,570.0,563.254395,0
2012-07-03,570.0,570.0,570.0,570.0,563.254395,0
2012-07-04,570.0,570.0,570.0,570.0,563.254395,0
2012-07-05,570.0,570.0,570.0,570.0,563.254395,0
2012-07-06,570.0,570.0,570.0,570.0,563.254395,0
2012-07-09,570.0,570.0,570.0,570.0,563.254395,0
2012-07-10,570.0,570.0,570.0,570.0,563.254395,0
2012-07-11,570.0,570.0,570.0,570.0,563.254395,0
2012-07-12,570.0,570.0,570.0,570.0,563.254395,0
2012-07-13,570.0,570.0,570.0,570.0,563.254395,0
2012-07-16,570.0,570.0,570.0,570.0,563.254395,0
2012-07-17,570.0,570.0,570.0,570.0,563.254395,0
2012-07-18,570.0,570.0,570.0,570.0,563.254395,0
2012-07-19,570.0,570.0,570.0,570.0,563.254395,0
2012-07-20,570.0,570.0,570.0,570.0,563.254395,0
2012-07-23,570.0,570.0,570.0,570.0,563.254395,0
2012-07-24,570.0,570.0,570.0,570.0,563.254395,0
2012-07-25,570.0,570.0,570.0,570.0,563.254395,0
